carrierId	nuOfJspritIterations	fleetSize	nuOfPossibleVehicleTypes	nuOfPossibleVehicles	nuOfServiceLocations_planned	nuOfPickupLocations_planned	nuOfDeliveryLocations_planned	MATSimScoreSelectedPlan	jSpritScoreSelectedPlan	nuOfTours	jobType	nuOfJobs_planned	nuOfJobs_handled	noOfJobs_notHandled	demandSize_planned	demandSize_handled	jspritComputationTime
Carrier Fennpfuhl1	100	INFINITE	1	1	0	1	1	-Infinity	-898.118202267463	1	shipments	1	1	0	204	204	00:00:00
Carrier Fennpfuhl2	100	INFINITE	1	1	0	1	1	-Infinity	-897.9527473351168	1	shipments	1	1	0	675	675	00:00:00
Carrier Fennpfuhl3	100	INFINITE	1	1	0	1	1	-Infinity	-902.3223061622864	1	shipments	1	1	0	841	841	00:00:00
Carrier Friedrichshain1	100	INFINITE	1	1	0	1	1	-Infinity	-921.1360962861664	1	shipments	1	1	0	115	115	00:00:00
Carrier Friedrichshain2	100	INFINITE	1	1	0	1	1	-Infinity	-921.1360962861665	1	shipments	1	1	0	190	190	00:00:00
Carrier Friedrichshain3	100	INFINITE	1	1	0	1	1	-Infinity	-921.1669514401299	1	shipments	1	1	0	103	103	00:00:00
Carrier Gesundbrunnen1	100	INFINITE	1	1	0	1	1	-Infinity	-861.0470615870104	1	shipments	1	1	0	94	94	00:00:00
Carrier Gesundbrunnen2	100	INFINITE	1	1	0	1	1	-Infinity	-861.3026417386226	1	shipments	1	1	0	359	359	00:00:00
Carrier Gesundbrunnen3	100	INFINITE	1	1	0	1	1	-Infinity	-865.5526199774217	1	shipments	1	1	0	612	612	00:00:00
Carrier Halensee1	100	INFINITE	1	1	0	1	1	-Infinity	-868.5410000865484	1	shipments	1	1	0	165	165	00:00:02
Carrier Halensee2	100	INFINITE	1	1	0	1	1	-Infinity	-868.4174711059576	1	shipments	1	1	0	280	280	00:00:00
Carrier Halensee3	100	INFINITE	1	1	0	1	1	-Infinity	-869.0401617715914	1	shipments	1	1	0	101	101	00:00:03
Carrier Haselhorst1	100	INFINITE	1	1	0	1	1	-Infinity	-879.122017793522	1	shipments	1	1	0	70	70	00:00:00
Carrier Haselhorst2	100	INFINITE	1	1	0	1	1	-Infinity	-881.6694497871267	1	shipments	1	1	0	158	158	00:00:00
Carrier Haselhorst3	100	INFINITE	1	1	0	1	1	-Infinity	-879.0812825284006	1	shipments	1	1	0	145	145	00:00:00
Carrier Hellersdorf1	100	INFINITE	1	1	0	1	1	-Infinity	-909.2269612427823	1	shipments	1	1	0	80	80	00:00:00
Carrier Hellersdorf2	100	INFINITE	1	1	0	1	1	-Infinity	-914.4713548092687	1	shipments	1	1	0	427	427	00:00:00
Carrier Hellersdorf3	100	INFINITE	1	1	0	1	1	-Infinity	-908.8246459668505	1	shipments	1	1	0	198	198	00:00:00
Carrier Karlshorst1	100	INFINITE	1	1	0	1	1	-Infinity	-905.8853857299049	1	shipments	1	1	0	81	81	00:00:03
Carrier Karlshorst2	100	INFINITE	1	1	0	1	1	-Infinity	-903.4628080843582	1	shipments	1	1	0	23	23	00:00:03
Carrier Karlshorst3	100	INFINITE	1	1	0	1	1	-Infinity	-906.1390019414621	1	shipments	1	1	0	94	94	00:00:03
Carrier Lichtenberg1	100	INFINITE	1	1	0	1	1	-Infinity	-924.1140823672348	1	shipments	1	1	0	1049	1049	00:00:00
Carrier Lichtenberg2	100	INFINITE	1	1	0	1	1	-Infinity	-922.7283454671352	1	shipments	1	1	0	92	92	00:00:00
Carrier Lichtenberg3	100	INFINITE	1	1	0	1	1	-Infinity	-923.0243896440938	1	shipments	1	1	0	267	267	00:00:00
Carrier Maerkisches Viertel1	100	INFINITE	1	1	0	1	1	-Infinity	-886.0328697685884	1	shipments	1	1	0	917	917	00:00:00
Carrier Maerkisches Viertel2	100	INFINITE	1	1	0	1	1	-Infinity	-885.238690464603	1	shipments	1	1	0	127	127	00:00:00
Carrier Maerkisches Viertel3	100	INFINITE	1	1	0	1	1	-Infinity	-885.1487257035855	1	shipments	1	1	0	141	141	00:00:00
Carrier Moabit1	100	INFINITE	1	1	0	1	1	-Infinity	-874.9924874031896	1	shipments	1	1	0	580	580	00:00:00
Carrier Moabit2	100	INFINITE	1	1	0	1	1	-Infinity	-870.0863468555422	1	shipments	1	1	0	40	40	00:00:00
Carrier Moabit3	100	INFINITE	1	1	0	1	1	-Infinity	-872.2736921561833	1	shipments	1	1	0	532	532	00:00:00
Carrier Neu-Hohenschoenhausen1	100	INFINITE	1	1	0	1	1	-Infinity	-894.4817818458566	1	shipments	1	1	0	1357	1357	00:00:00
Carrier Neu-Hohenschoenhausen2	100	INFINITE	1	1	0	1	1	-Infinity	-894.1094961715455	1	shipments	1	1	0	429	429	00:00:03
Carrier Neu-Hohenschoenhausen3	100	INFINITE	1	1	0	1	1	-Infinity	-890.5199546929307	1	shipments	1	1	0	90	90	00:00:00
Carrier Neukoelln1	100	INFINITE	1	1	0	1	1	-Infinity	-899.5520780865727	1	shipments	1	1	0	445	445	00:00:00
Carrier Neukoelln2	100	INFINITE	1	1	0	1	1	-Infinity	-898.2618821013589	1	shipments	1	1	0	670	670	00:00:00
Carrier Neukoelln3	100	INFINITE	1	1	0	1	1	-Infinity	-905.6914981108803	1	shipments	1	1	0	35	35	00:00:00
Carrier Pankow1	100	INFINITE	1	1	0	1	1	-Infinity	-878.9492369829123	1	shipments	1	1	0	196	196	00:00:00
Carrier Pankow2	100	INFINITE	1	1	0	1	1	-Infinity	-878.5710229746682	1	shipments	1	1	0	210	210	00:00:00
Carrier Pankow3	100	INFINITE	1	1	0	1	1	-Infinity	-878.7155339919857	1	shipments	1	1	0	270	270	00:00:00
Carrier Schmargendorf1	100	INFINITE	1	1	0	1	1	-Infinity	-873.043746335631	1	shipments	1	1	0	251	251	00:00:00
Carrier Schmargendorf2	100	INFINITE	1	1	0	1	1	-Infinity	-870.9811989076227	1	shipments	1	1	0	15	15	00:00:00
Carrier Schmargendorf3	100	INFINITE	1	1	0	1	1	-Infinity	-873.0677658806231	1	shipments	1	1	0	261	261	00:00:00
Carrier Schoeneberg1	100	INFINITE	1	1	0	1	1	-Infinity	-897.1407880470574	1	shipments	1	1	0	230	230	00:00:00
Carrier Schoeneberg2	100	INFINITE	1	1	0	1	1	-Infinity	-897.0650034822953	1	shipments	1	1	0	44	44	00:00:00
Carrier Schoeneberg3	100	INFINITE	1	1	0	1	1	-Infinity	-897.1909798775081	1	shipments	1	1	0	51	51	00:00:00
Carrier Staaken1	100	INFINITE	1	1	0	1	1	-Infinity	-888.4238392078902	1	shipments	1	1	0	196	196	00:00:00
Carrier Staaken2	100	INFINITE	1	1	0	1	1	-Infinity	-892.040848198514	1	shipments	1	1	0	142	142	00:00:00
Carrier Staaken3	100	INFINITE	1	1	0	1	1	-Infinity	-891.7856717455724	1	shipments	1	1	0	169	169	00:00:00
Carrier Steglitz1	100	INFINITE	1	1	0	1	1	-Infinity	-875.067111299111	1	shipments	1	1	0	21	21	00:00:02
Carrier Steglitz2	100	INFINITE	1	1	0	1	1	-Infinity	-875.5939123106576	1	shipments	1	1	0	104	104	00:00:03
Carrier Steglitz3	100	INFINITE	1	1	0	1	1	-Infinity	-875.6781074282146	1	shipments	1	1	0	109	109	00:00:02
Carrier Wedding1	100	INFINITE	1	1	0	1	1	-Infinity	-886.2747119389572	1	shipments	1	1	0	383	383	00:00:00
Carrier Wedding2	100	INFINITE	1	1	0	1	1	-Infinity	-887.530947189389	1	shipments	1	1	0	142	142	00:00:00
Carrier Wedding3	100	INFINITE	1	1	0	1	1	-Infinity	-885.0269122668379	1	shipments	1	1	0	24	24	00:00:00
Carrier Wilhelmstadt1	100	INFINITE	1	1	0	1	1	-Infinity	-884.1320012929243	1	shipments	1	1	0	516	516	00:00:00
Carrier Wilhelmstadt2	100	INFINITE	1	1	0	1	1	-Infinity	-878.2197407638929	1	shipments	1	1	0	103	103	00:00:00
Carrier Wilhelmstadt3	100	INFINITE	1	1	0	1	1	-Infinity	-878.0553289660943	1	shipments	1	1	0	6	6	00:00:00
Carrier Wilmersdorf1	100	INFINITE	1	1	0	1	1	-Infinity	-868.5656960348322	1	shipments	1	1	0	66	66	00:00:02
Carrier Wilmersdorf2	100	INFINITE	1	1	0	1	1	-Infinity	-870.330099864125	1	shipments	1	1	0	342	342	00:00:02
Carrier Wilmersdorf3	100	INFINITE	1	1	0	1	1	-Infinity	-869.7753970499037	1	shipments	1	1	0	333	333	00:00:02
