vehicleId	vehicleTypeId	capacity	maxLoad	maxLoadPercentage	handledDemand	load state during tour
freight_Carrier Wilmersdorf1_veh_TruckForckenbeckDiesel_9	diesel_vehicle	11500.0	11488	99.9	22799	[27, 184, 624, 793, 1064, 1282, 1743, 2006, 2273, 2528, 2988, 3291, 3433, 3642, 3744, 4170, 4279, 4304, 4423, 4569, 4598, 4928, 5070, 5376, 5664, 5865, 5924, 6019, 6211, 6433, 6570, 6766, 7149, 7426, 7437, 7452, 7469, 7485, 7503, 7551, 7832, 8035, 8209, 8573, 8599, 8680, 9132, 9400, 9420, 10000, 10114, 10142, 10411, 10937, 11059, 11311, 11059, 10937, 10669, 10555, 10286, 10205, 10185, 10159, 10131, 9705, 9689, 9520, 9317, 9121, 8595, 8577, 8271, 7691, 7482, 7215, 7106, 6964, 6772, 6755, 6744, 6570, 6428, 6206, 5935, 5789, 5764, 5662, 5407, 5043, 4825, 4548, 4260, 4201, 3818, 3366, 3063, 2603, 2446, 2116, 2021, 1820, 1683, 1420, 1391, 1364, 924, 876, 415, 296, 281, 0, 25, 50, 544, 743, 940, 1133, 1405, 1772, 2392, 2424, 2625, 2682, 2719, 2783, 2911, 3010, 3051, 3085, 3247, 3283, 3497, 3602, 3756, 4099, 4377, 5138, 5339, 5469, 5617, 5647, 5677, 6222, 6412, 6719, 6744, 6762, 6926, 7199, 7489, 7740, 7784, 7901, 8040, 8128, 8342, 9001, 9124, 9245, 9379, 9407, 9442, 9487, 9866, 10029, 10234, 10351, 10435, 10797, 11488, 11371, 11341, 11296, 11095, 10967, 10762, 10395, 10265, 9958, 9837, 9720, 9358, 9204, 8932, 8793, 8768, 8634, 8609, 8545, 8461, 8356, 8312, 8284, 8161, 8013, 7956, 7919, 7722, 7529, 7494, 7464, 7439, 7351, 7317, 7281, 7067, 6868, 6836, 6674, 6575, 6534, 6371, 6353, 6080, 5389, 4628, 4414, 4136, 3846, 3595, 3101, 2900, 2355, 1696, 1532, 1342, 963, 343, 0]
freight_Carrier Wilmersdorf1_veh_TruckForckenbeckDiesel_5	diesel_vehicle	11500.0	11477	99.8	11477	[25, 249, 385, 875, 1484, 1531, 1986, 2023, 2048, 2504, 2966, 3068, 3283, 3535, 3987, 4314, 4972, 5216, 5373, 5597, 5928, 6013, 6258, 6289, 6411, 6475, 6594, 6625, 6659, 7321, 7358, 7428, 7595, 7643, 7878, 8421, 8618, 9168, 9188, 9579, 9601, 9782, 9814, 10075, 10479, 10516, 10571, 11067, 11087, 11252, 11477, 11429, 11038, 10983, 10881, 10646, 10614, 10589, 10569, 10372, 10335, 10120, 10098, 9837, 9585, 9565, 9340, 9175, 9008, 8827, 8365, 7961, 7630, 7593, 7546, 7509, 7424, 7393, 7329, 6874, 6755, 6511, 6441, 6284, 6060, 5836, 5805, 5780, 5230, 4903, 4413, 4379, 3883, 3431, 3295, 2752, 2090, 1481, 1236, 1114, 658, 0]
freight_Carrier Wilmersdorf1_veh_TruckForckenbeckDiesel_3	diesel_vehicle	11500.0	11500	100.0	22995	[39, 481, 518, 747, 906, 1048, 1122, 1157, 1425, 1522, 1718, 2147, 2432, 2627, 2865, 3133, 3572, 3767, 3955, 4026, 4101, 4289, 4491, 4830, 4929, 4957, 5226, 5365, 5391, 5850, 5875, 5894, 6356, 6410, 6656, 6774, 6821, 7044, 7220, 7300, 7634, 7780, 8119, 8432, 8720, 8748, 8991, 9021, 9268, 9525, 9867, 10012, 10042, 10244, 10446, 10612, 10805, 11159, 11434, 11500, 11481, 11234, 11180, 11143, 11046, 11018, 10789, 10447, 10159, 10017, 9822, 9547, 9309, 9283, 8844, 8648, 8425, 8223, 8198, 8059, 7900, 7820, 7632, 7430, 6968, 6894, 6795, 6760, 6572, 6130, 6100, 6070, 5877, 5564, 5225, 5030, 4854, 4652, 4193, 4146, 4080, 3812, 3737, 3698, 3364, 3218, 2864, 2793, 2508, 2239, 1982, 1837, 1809, 1691, 1448, 1180, 934, 768, 339, 0, 182, 356, 643, 1002, 1226, 1729, 1945, 2386, 2457, 2550, 2659, 2884, 2913, 3032, 3161, 3251, 3343, 3633, 3753, 4212, 4446, 4980, 5362, 5671, 5713, 5741, 6033, 6131, 6387, 6589, 6648, 6732, 6879, 6986, 7063, 7536, 8031, 8110, 8192, 8228, 8258, 8364, 8979, 9312, 9372, 9476, 9807, 10447, 10587, 10705, 10919, 11043, 11300, 11495, 11465, 11383, 11052, 10878, 10774, 10738, 10524, 10300, 10176, 10116, 10037, 9960, 9778, 9671, 9531, 9425, 9307, 9050, 8717, 8619, 8417, 8333, 8204, 7912, 7409, 7289, 6794, 6538, 5923, 5881, 5241, 4954, 4720, 4661, 4279, 4132, 3916, 3888, 3817, 3724, 3365, 3275, 3246, 3127, 2654, 2364, 1923, 1698, 1606, 1297, 1102, 993, 534, 0]
freight_Carrier Wilmersdorf1_veh_TruckForckenbeckDiesel_7	diesel_vehicle	11500.0	11493	99.94	22948	[141, 243, 278, 306, 332, 944, 978, 1059, 1123, 1151, 1265, 1815, 1820, 2330, 2550, 2694, 2913, 3166, 3321, 3682, 3914, 4022, 4133, 4269, 4313, 4324, 4529, 4574, 4805, 4953, 5119, 5220, 5261, 5356, 5387, 5601, 6065, 6099, 6607, 6688, 6755, 6848, 6873, 6905, 7016, 7162, 7212, 7252, 7335, 7629, 7701, 7795, 8104, 8165, 8348, 8458, 8918, 8948, 9862, 10080, 10097, 10183, 10212, 10318, 10510, 10900, 10919, 11152, 11289, 11493, 11464, 11445, 11428, 11119, 11089, 10952, 10734, 10551, 10490, 10257, 10151, 10065, 9873, 9669, 9634, 9608, 9377, 9349, 8737, 8626, 8576, 8544, 8339, 8119, 7659, 7149, 6599, 6346, 6202, 6191, 6163, 5997, 5636, 5342, 5123, 5029, 4915, 4848, 4634, 4589, 4479, 4247, 4222, 4181, 4079, 3165, 3070, 2989, 2955, 2883, 2843, 2453, 1945, 1862, 1781, 1640, 1596, 1532, 1498, 1343, 1207, 1061, 953, 489, 484, 383, 272, 241, 93, 0, 943, 1072, 1086, 1411, 1531, 1654, 1820, 1918, 2309, 2457, 2482, 2538, 2964, 3200, 3460, 3764, 3887, 4175, 4542, 4792, 5185, 5535, 5810, 6140, 6541, 6979, 7341, 7623, 7840, 8015, 8051, 8364, 8732, 8769, 8895, 9699, 9836, 10050, 10182, 10462, 10658, 10821, 10854, 10920, 10944, 11266, 11455, 11418, 11204, 11072, 11016, 10887, 10863, 10726, 10603, 10455, 10389, 10263, 9837, 9648, 9368, 9248, 8923, 8800, 8786, 8750, 8584, 8551, 8453, 8290, 8265, 8029, 7833, 7471, 7196, 6805, 5862, 5512, 5224, 4902, 4534, 4221, 3783, 3566, 3173, 2891, 2524, 2194, 2019, 1618, 1314, 510, 250, 0]
freight_Carrier Wilmersdorf1_veh_TruckForckenbeckDiesel_2	diesel_vehicle	11500.0	11397	99.1	11397	[110, 138, 170, 197, 284, 741, 951, 1371, 1567, 1652, 1717, 1905, 2347, 2634, 2662, 2932, 3142, 3390, 3607, 3801, 3984, 4151, 4582, 4768, 4890, 5008, 5127, 5203, 5279, 5360, 5718, 5915, 6183, 6301, 6461, 6561, 6579, 6722, 6830, 7144, 7212, 7444, 7465, 7664, 7872, 8053, 8113, 8423, 8899, 9121, 9238, 9442, 9627, 9664, 9733, 9949, 9977, 10294, 10454, 10484, 10704, 10833, 11091, 11397, 11177, 11149, 10843, 10662, 10533, 10503, 10245, 10029, 10008, 9691, 9506, 9298, 9138, 9078, 9041, 8972, 8904, 8786, 8564, 8479, 8361, 8074, 7877, 7717, 7600, 7286, 6810, 6643, 6395, 6287, 6144, 5958, 5690, 5568, 5449, 5029, 4812, 4794, 4352, 4320, 4010, 3900, 3696, 3609, 3413, 3386, 3358, 2927, 2899, 2442, 2210, 2134, 2069, 1969, 1888, 1812, 1602, 1392, 1193, 1005, 811, 453, 183, 0]
freight_Carrier Wilmersdorf1_veh_TruckForckenbeckDiesel_13	diesel_vehicle	11500.0	11457	99.63	22699	[39, 262, 872, 1335, 1571, 1749, 2285, 2493, 2556, 2760, 3800, 4023, 4230, 4261, 4478, 4984, 5171, 5434, 5684, 5779, 5950, 6010, 6114, 6348, 6467, 6715, 6937, 7513, 7794, 7956, 8062, 8128, 8223, 8244, 8267, 8350, 8536, 8574, 8612, 8643, 8828, 9195, 9451, 9767, 10273, 10332, 10372, 10756, 11242, 11204, 11121, 11090, 11052, 10867, 10681, 10297, 10257, 10234, 10175, 9808, 9552, 9330, 9235, 8749, 8630, 8407, 8184, 7648, 7477, 7299, 7082, 7061, 6780, 6593, 6530, 6426, 6222, 5716, 5610, 5550, 5044, 4810, 4234, 4072, 3809, 3714, 3464, 2854, 2538, 2290, 2259, 1796, 1588, 1352, 312, 105, 66, 0, 745, 1071, 1200, 2118, 2464, 2553, 2599, 2686, 2883, 3000, 3130, 3170, 3447, 3484, 3552, 4084, 4382, 4616, 5280, 5555, 5868, 5891, 6230, 6281, 6356, 6477, 6681, 6700, 7164, 7347, 7374, 7968, 7999, 8345, 8557, 8842, 8870, 8903, 8927, 9226, 10029, 10165, 10181, 10338, 10713, 10907, 10980, 11241, 11268, 11312, 11356, 11441, 11457, 11420, 11299, 11169, 11040, 10994, 10971, 10903, 10814, 10729, 10452, 10408, 10204, 10129, 10113, 10086, 10042, 9845, 9758, 9739, 9699, 9648, 9414, 9297, 8984, 8658, 8383, 8200, 7939, 7641, 7177, 7104, 6765, 6466, 5721, 5690, 5344, 4680, 3762, 3416, 2884, 2868, 2732, 2357, 2333, 2305, 1711, 1426, 1269, 1242, 439, 245, 33, 0]
freight_Carrier Wilmersdorf1_veh_TruckForckenbeckDiesel_1	diesel_vehicle	11500.0	11473	99.77	11473	[69, 144, 265, 828, 947, 1143, 1316, 1844, 2431, 2824, 3057, 3242, 3352, 3945, 3960, 3975, 4418, 4692, 4824, 4920, 5149, 5770, 5832, 5856, 6355, 6861, 7022, 7129, 7176, 7358, 7620, 7765, 8000, 8082, 8194, 8237, 8566, 8769, 9001, 9081, 9177, 9213, 9585, 9762, 9798, 9809, 9844, 10051, 10149, 10265, 10559, 10853, 11447, 11473, 11462, 11352, 11058, 10851, 10816, 10639, 10541, 10517, 10401, 10107, 10011, 9949, 9923, 9887, 9872, 9687, 9612, 9018, 8431, 8202, 8122, 7793, 7672, 7144, 6523, 6249, 6206, 6003, 5610, 5491, 4985, 4812, 4630, 4615, 4508, 4439, 4204, 3761, 3198, 3086, 2493, 2121, 1989, 1844, 1648, 1601, 1505, 1243, 1082, 849, 813, 731, 232, 0]
freight_Carrier Wilmersdorf1_veh_TruckForckenbeckDiesel_4	diesel_vehicle	11500.0	11465	99.7	11465	[141, 174, 397, 438, 566, 959, 1087, 1536, 1701, 1753, 1943, 2192, 2492, 2809, 3096, 3427, 3451, 3632, 3837, 4084, 4398, 4618, 4744, 4934, 4997, 5026, 5078, 5179, 5542, 5728, 5950, 6228, 6262, 6563, 6755, 7011, 7035, 7190, 7295, 7410, 7620, 8180, 8195, 8404, 8992, 9513, 9775, 10083, 10217, 11054, 11201, 11224, 11339, 11378, 11465, 11245, 11064, 11012, 10807, 10720, 10681, 10381, 10234, 10044, 9757, 9694, 9568, 9453, 9429, 9406, 9089, 9060, 8959, 8710, 8569, 8307, 8097, 7875, 7685, 7499, 7276, 7111, 6864, 6736, 5899, 5536, 5205, 4756, 4601, 4549, 4434, 4329, 4120, 3599, 3298, 3164, 3140, 2862, 2274, 2259, 2131, 1875, 1842, 1282, 1090, 697, 389, 348, 34, 0]
freight_Carrier Wilmersdorf1_veh_TruckForckenbeckDiesel_12	diesel_vehicle	11500.0	11489	99.9	22876	[210, 282, 549, 713, 1183, 1535, 1919, 2402, 2988, 3020, 3309, 3498, 4038, 4327, 4336, 4626, 5003, 5535, 5792, 6045, 6281, 6470, 6698, 6727, 7221, 7708, 8682, 8898, 9192, 9258, 9337, 9400, 9665, 9697, 9796, 10075, 10409, 10660, 11373, 11392, 11459, 11489, 11459, 11396, 11160, 10866, 10800, 10466, 10277, 10248, 10149, 9933, 9914, 9847, 9815, 9736, 9457, 9229, 8964, 8675, 8408, 8031, 7318, 6848, 6597, 6103, 6071, 5782, 5492, 5282, 5118, 4635, 4626, 4554, 4067, 3481, 3228, 2844, 2587, 2055, 1515, 541, 352, 0, 99, 627, 959, 1202, 1531, 1864, 2167, 2214, 2385, 2565, 2780, 3171, 3356, 3543, 3787, 4159, 4415, 4684, 4950, 5162, 5573, 5867, 6153, 6252, 6384, 6573, 6694, 7102, 7328, 7605, 8015, 8271, 9232, 9540, 9816, 10158, 10370, 10399, 10460, 10790, 10873, 11065, 11387, 11079, 10757, 10565, 10350, 10074, 9991, 9804, 9619, 9590, 9529, 9317, 8987, 8816, 8484, 8437, 8257, 8045, 7716, 7617, 7226, 6884, 6785, 6508, 6100, 5797, 5676, 5410, 5124, 4714, 3753, 3459, 3190, 2964, 2436, 2103, 1860, 1671, 1539, 1295, 884, 628, 256, 0]
freight_Carrier Wilmersdorf1_veh_TruckForckenbeckDiesel_8	diesel_vehicle	11500.0	11482	99.84	11482	[29, 59, 273, 379, 410, 605, 657, 832, 1053, 1332, 1461, 2495, 2791, 2865, 3070, 3263, 3323, 3594, 3803, 4333, 4600, 4812, 4833, 4852, 5035, 5074, 5404, 5639, 5786, 5935, 6564, 6814, 7340, 7752, 8281, 8316, 8348, 9329, 9368, 9437, 9668, 9997, 10170, 10204, 10429, 10468, 10660, 11051, 11156, 11482, 11448, 11409, 11184, 11149, 11044, 10852, 10813, 10744, 10712, 10383, 10152, 9979, 9950, 9821, 8787, 8258, 8023, 7830, 6849, 6582, 6191, 6152, 6122, 5910, 5614, 5088, 4838, 4786, 4637, 4462, 4279, 4084, 3863, 3658, 3379, 2750, 2338, 2124, 2103, 1997, 1978, 1448, 1118, 1044, 718, 658, 449, 178, 31, 0]
