carrierId	nuOfJspritIterations	fleetSize	nuOfPossibleVehicleTypes	nuOfPossibleVehicles	nuOfServiceLocations_planned	nuOfPickupLocations_planned	nuOfDeliveryLocations_planned	MATSimScoreSelectedPlan	jSpritScoreSelectedPlan	nuOfTours	jobType	nuOfJobs_planned	nuOfJobs_handled	noOfJobs_notHandled	demandSize_planned	demandSize_handled	jspritComputationTime
Carrier Fennpfuhl1	100	INFINITE	1	1	0	57	1	-Infinity	-1862.18732158705	2	shipments	57	57	0	24991	24991	00:00:05
Carrier Fennpfuhl2	100	INFINITE	1	1	0	65	1	-Infinity	-1863.5627669883063	2	shipments	65	65	0	28534	28534	00:00:07
Carrier Fennpfuhl3	100	INFINITE	1	1	0	58	1	-Infinity	-1898.436828390122	2	shipments	58	58	0	26745	26745	00:00:04
Carrier Friedrichshain1	100	INFINITE	1	1	0	498	1	-Infinity	-11341.325407331695	12	shipments	498	498	0	166216	166216	00:08:02
Carrier Friedrichshain2	100	INFINITE	1	1	0	261	1	-Infinity	-5753.891909735994	6	shipments	261	261	0	87255	87255	00:01:39
Carrier Friedrichshain3	100	INFINITE	1	1	0	251	1	-Infinity	-4771.820307402001	5	shipments	251	251	0	64669	64669	00:02:03
Carrier Gesundbrunnen1	100	INFINITE	1	1	0	233	1	-Infinity	-3515.677750454655	4	shipments	233	233	0	64711	64711	00:02:22
Carrier Gesundbrunnen2	100	INFINITE	1	1	0	210	1	-Infinity	-2702.5536388207065	3	shipments	210	210	0	65235	65235	00:01:45
Carrier Gesundbrunnen3	100	INFINITE	1	1	0	121	1	-Infinity	-1778.7556858230791	2	shipments	121	121	0	39954	39954	00:00:37
Carrier Halensee1	100	INFINITE	1	1	0	24	1	-Infinity	-875.6435462802142	1	shipments	24	24	0	11183	11183	00:00:00
Carrier Halensee2	100	INFINITE	1	1	0	22	1	-Infinity	-876.7772747587469	1	shipments	22	22	0	11125	11125	00:00:00
Carrier Halensee3	100	INFINITE	1	1	0	32	1	-Infinity	-895.1987737143255	1	shipments	32	32	0	14612	14612	00:00:01
Carrier Haselhorst1	100	INFINITE	1	1	0	98	1	-Infinity	-906.2132483311841	1	shipments	98	98	0	10386	10386	00:00:38
Carrier Haselhorst2	100	INFINITE	1	1	0	39	1	-Infinity	-893.2318056152168	1	shipments	39	39	0	6868	6868	00:00:02
Carrier Haselhorst3	100	INFINITE	1	1	0	137	1	-Infinity	-1807.9104498208733	2	shipments	137	137	0	20096	20096	00:01:09
Carrier Hellersdorf1	100	INFINITE	1	1	0	347	1	-Infinity	-8341.823150260452	9	shipments	347	347	0	105397	105397	00:04:07
Carrier Hellersdorf2	100	INFINITE	1	1	0	190	1	-Infinity	-3821.0209713652116	4	shipments	190	190	0	54050	54050	00:00:58
Carrier Hellersdorf3	100	INFINITE	1	1	0	107	1	-Infinity	-2815.455327720837	3	shipments	107	107	0	34483	34483	00:00:15
Carrier Karlshorst1	100	INFINITE	1	1	0	189	1	-Infinity	-1889.6461097065567	2	shipments	189	189	0	26552	26552	00:02:19
Carrier Karlshorst2	100	INFINITE	1	1	0	97	1	-Infinity	-965.3163576568692	1	shipments	97	97	0	12565	12565	00:00:32
Carrier Karlshorst3	100	INFINITE	1	1	0	204	1	-Infinity	-2765.4643755194797	3	shipments	204	204	0	25923	25923	00:02:32
Carrier Lichtenberg1	100	INFINITE	1	1	0	161	1	-Infinity	-2858.5602368962286	3	shipments	161	161	0	38144	38144	00:00:50
Carrier Lichtenberg2	100	INFINITE	1	1	0	70	1	-Infinity	-1868.1016272146335	2	shipments	70	70	0	19955	19955	00:00:11
Carrier Lichtenberg3	100	INFINITE	1	1	0	158	1	-Infinity	-2855.895103173641	3	shipments	158	158	0	39161	39161	00:00:54
Carrier Maerkisches Viertel1	100	INFINITE	1	1	0	16	1	-Infinity	-926.0578681699541	1	shipments	16	16	0	13652	13652	00:00:00
Carrier Maerkisches Viertel2	100	INFINITE	1	1	0	67	1	-Infinity	-1853.2484061487128	2	shipments	67	67	0	34887	34887	00:00:06
Carrier Maerkisches Viertel3	100	INFINITE	1	1	0	51	1	-Infinity	-925.771852621938	1	shipments	51	51	0	22661	22661	00:00:04
Carrier Moabit1	100	INFINITE	1	1	0	238	1	-Infinity	-2760.2768406375326	3	shipments	238	238	0	62446	62446	00:02:50
Carrier Moabit2	100	INFINITE	1	1	0	361	1	-Infinity	-3676.7369592406326	4	shipments	361	361	0	91105	91105	00:06:50
Carrier Moabit3	100	INFINITE	1	1	0	151	1	-Infinity	-2658.394594817574	3	shipments	151	151	0	35759	35759	00:00:53
Carrier Neu-Hohenschoenhausen1	100	INFINITE	1	1	0	87	1	-Infinity	-1845.0534937857976	2	shipments	87	87	0	31718	31718	00:00:12
Carrier Neu-Hohenschoenhausen2	100	INFINITE	1	1	0	74	1	-Infinity	-2779.470359845024	3	shipments	74	74	0	42853	42853	00:00:05
Carrier Neu-Hohenschoenhausen3	100	INFINITE	1	1	0	129	1	-Infinity	-3675.480661697949	4	shipments	129	129	0	59859	59859	00:00:21
Carrier Neukoelln1	100	INFINITE	1	1	0	404	1	-Infinity	-9236.50089990717	10	shipments	404	404	0	139711	139711	00:04:52
Carrier Neukoelln2	100	INFINITE	1	1	0	309	1	-Infinity	-6497.680805831899	7	shipments	309	309	0	99763	99763	00:03:29
Carrier Neukoelln3	100	INFINITE	1	1	0	489	1	-Infinity	-9333.847525396473	10	shipments	489	489	0	157856	157856	00:07:54
Carrier Pankow1	100	INFINITE	1	1	0	121	1	-Infinity	-1812.5761087554479	2	shipments	121	121	0	33303	33303	00:00:41
Carrier Pankow2	100	INFINITE	1	1	0	220	1	-Infinity	-2735.7472762707166	3	shipments	220	220	0	50621	50621	00:02:29
Carrier Pankow3	100	INFINITE	1	1	0	285	1	-Infinity	-3712.4643920532985	4	shipments	285	285	0	68056	68056	00:03:52
Carrier Schmargendorf1	100	INFINITE	1	1	0	84	1	-Infinity	-919.1902138104494	1	shipments	84	84	0	13792	13792	00:00:22
Carrier Schmargendorf2	100	INFINITE	1	1	0	106	1	-Infinity	-919.8921176242483	1	shipments	106	106	0	15838	15838	00:00:47
Carrier Schmargendorf3	100	INFINITE	1	1	0	161	1	-Infinity	-1806.2484831788984	2	shipments	161	161	0	22910	22910	00:01:52
Carrier Schoeneberg1	100	INFINITE	1	1	0	340	1	-Infinity	-4598.714683856075	5	shipments	340	340	0	70524	70524	00:06:13
Carrier Schoeneberg2	100	INFINITE	1	1	0	305	1	-Infinity	-5601.375299883302	6	shipments	305	305	0	85524	85524	00:03:20
Carrier Schoeneberg3	100	INFINITE	1	1	0	616	1	-Infinity	-8329.299978543759	9	shipments	616	616	0	137832	137832	00:19:48
Carrier Staaken1	100	INFINITE	1	1	0	234	1	-Infinity	-2797.8341937105984	3	shipments	234	234	0	46134	46134	00:02:06
Carrier Staaken2	100	INFINITE	1	1	0	161	1	-Infinity	-1875.6391554812008	2	shipments	161	161	0	28405	28405	00:01:19
Carrier Staaken3	100	INFINITE	1	1	0	205	1	-Infinity	-1877.7194518025144	2	shipments	205	205	0	34921	34921	00:02:35
Carrier Steglitz1	100	INFINITE	1	1	0	75	1	-Infinity	-911.2265663955363	1	shipments	75	75	0	18196	18196	00:00:15
Carrier Steglitz2	100	INFINITE	1	1	0	565	1	-Infinity	-5464.804113587551	6	shipments	565	565	0	106713	106713	00:25:00
Carrier Steglitz3	100	INFINITE	1	1	0	251	1	-Infinity	-3578.8318897373438	4	shipments	251	251	0	54241	54241	00:02:57
Carrier Wedding1	100	INFINITE	1	1	0	25	1	-Infinity	-931.5175144154271	1	shipments	25	25	0	13566	13566	00:00:00
Carrier Wedding2	100	INFINITE	1	1	0	472	1	-Infinity	-5518.668627373856	6	shipments	472	472	0	106132	106132	00:14:15
Carrier Wedding3	100	INFINITE	1	1	0	296	1	-Infinity	-4619.0395607109	5	shipments	296	296	0	87062	87062	00:03:13
Carrier Wilhelmstadt1	100	INFINITE	1	1	0	131	1	-Infinity	-1812.0397117984292	2	shipments	131	131	0	25192	25192	00:00:55
Carrier Wilhelmstadt2	100	INFINITE	1	1	0	186	1	-Infinity	-1870.610005459376	2	shipments	186	186	0	42531	42531	00:01:36
Carrier Wilhelmstadt3	100	INFINITE	1	1	0	164	1	-Infinity	-1803.7021737658026	2	shipments	164	164	0	28887	28887	00:02:07
Carrier Wilmersdorf1	100	INFINITE	1	1	0	357	1	-Infinity	-4534.480042838667	5	shipments	357	357	0	83349	83349	00:07:19
Carrier Wilmersdorf2	100	INFINITE	1	1	0	388	1	-Infinity	-3698.527493660021	4	shipments	388	388	0	80894	80894	00:10:02
Carrier Wilmersdorf3	100	INFINITE	1	1	0	360	1	-Infinity	-4471.060152155431	5	shipments	360	360	0	77797	77797	00:07:52
