vehicleId	vehicleTypeId	capacity	maxLoad	maxLoadPercentage	handledDemand	load state during tour
freight_Carrier Wilmersdorf2_veh_TruckForckenbeckDiesel_2	diesel_vehicle	11500.0	11477	99.8	26467	[110, 197, 406, 652, 856, 1896, 2103, 3026, 3125, 3373, 3401, 3649, 3677, 3920, 3950, 4127, 4351, 4379, 4623, 5015, 5045, 5130, 5639, 5670, 6176, 6618, 6820, 7159, 7428, 7567, 7675, 7925, 8036, 8047, 8176, 8271, 8442, 8604, 8664, 8770, 8815, 8840, 8859, 8885, 9125, 9356, 9504, 9597, 9638, 9669, 9883, 9913, 10377, 10458, 10522, 11030, 11111, 11135, 11410, 11477, 11390, 11360, 11250, 11183, 10908, 10884, 10854, 10677, 10649, 10618, 10590, 10562, 10360, 10252, 10004, 9919, 9878, 9674, 9610, 9168, 9087, 8581, 8374, 8343, 7951, 7940, 7709, 7690, 7665, 6625, 6356, 6147, 6008, 5784, 5673, 5578, 5497, 5249, 5204, 4964, 4865, 4703, 3780, 3632, 3606, 3500, 3161, 2697, 2483, 2240, 1994, 1485, 1356, 1263, 1092, 584, 340, 90, 60, 0, 612, 641, 675, 703, 737, 1201, 1415, 1521, 1552, 1747, 1799, 1943, 2162, 2351, 2604, 2779, 3140, 3169, 3197, 3438, 3897, 4359, 4413, 5447, 5640, 5851, 6058, 6266, 6329, 6770, 6972, 7138, 7331, 7424, 7449, 7551, 7578, 7644, 7619, 7553, 7526, 7424, 7331, 7303, 7197, 7163, 7100, 7071, 7040, 6833, 6799, 6591, 6150, 5691, 5480, 5305, 4944, 4915, 4861, 4397, 4178, 3989, 3961, 2927, 2315, 1853, 1660, 1407, 1241, 1027, 883, 688, 495, 293, 241, 0, 190, 386, 458, 541, 624, 1218, 1354, 1394, 1982, 2503, 2662, 2736, 2769, 2992, 3031, 3063, 3090, 3122, 3149, 3759, 4216, 4746, 4942, 5007, 5036, 5224, 5251, 5629, 6016, 6263, 6508, 6695, 6958, 7252, 7280, 7346, 7314, 7281, 7254, 7118, 7078, 7006, 6974, 6891, 6303, 6113, 5917, 5307, 5084, 4925, 4729, 4646, 4619, 4580, 4506, 4128, 3941, 3875, 3628, 3601, 3536, 3507, 3319, 3056, 2526, 2005, 1760, 1166, 709, 322, 28, 0]
freight_Carrier Wilmersdorf2_veh_TruckForckenbeckDiesel_1	diesel_vehicle	11500.0	11492	99.93	21982	[39, 262, 530, 1022, 1229, 1509, 1938, 2133, 2401, 2668, 2976, 3171, 3359, 3430, 3505, 3696, 3867, 4020, 4279, 4462, 4679, 4871, 5330, 5527, 5598, 5895, 6041, 6328, 6598, 6619, 6829, 7117, 7293, 7606, 7755, 7921, 8086, 8243, 8410, 8841, 9035, 9221, 9340, 9348, 9454, 9530, 9606, 9687, 9784, 9923, 9955, 10020, 10302, 10424, 10591, 10736, 11199, 11296, 11492, 11296, 11016, 10587, 10380, 10112, 9917, 9694, 9202, 9105, 8837, 8374, 8335, 8169, 7986, 7719, 7528, 7382, 7211, 7017, 6800, 6633, 6488, 6456, 6291, 6081, 5895, 5820, 5667, 5510, 5489, 5292, 5221, 5145, 4957, 4949, 4690, 4498, 4349, 4268, 4197, 3738, 3641, 3353, 3066, 2890, 2582, 2151, 2029, 1964, 1667, 1354, 1235, 1129, 847, 771, 632, 465, 195, 0, 421, 481, 890, 1032, 1073, 1123, 1280, 1504, 1640, 2080, 2249, 2520, 2716, 2796, 3028, 3201, 3662, 3925, 4318, 4604, 4732, 5181, 5346, 5647, 5839, 5951, 5994, 6076, 6110, 6162, 6316, 6947, 7580, 8040, 8510, 8618, 9227, 9274, 9729, 9766, 10208, 10245, 10474, 10490, 10266, 10130, 10114, 9885, 9464, 9404, 9367, 9317, 9276, 9196, 9088, 8931, 8789, 8158, 8111, 7915, 7466, 7026, 6992, 6827, 6357, 6184, 5898, 5635, 5583, 5546, 5503, 5061, 4601, 4489, 4034, 3763, 3681, 3449, 3040, 2912, 2720, 2111, 1650, 1496, 863, 470, 301, 0]
freight_Carrier Wilmersdorf2_veh_TruckForckenbeckDiesel_4	diesel_vehicle	11500.0	11189	97.3	11189	[141, 280, 737, 1192, 1402, 1612, 2032, 2317, 2555, 2893, 2932, 3262, 3448, 3660, 3681, 3700, 3897, 4165, 4400, 4518, 4665, 4713, 4993, 5121, 5514, 5792, 6027, 6182, 6331, 6821, 7624, 7655, 8001, 8213, 8842, 8947, 9062, 9272, 9832, 9847, 10056, 10100, 10257, 10519, 11189, 11168, 10883, 10755, 10606, 10420, 10082, 9873, 9635, 9242, 8980, 8650, 8453, 8348, 8317, 8107, 7827, 7788, 7670, 7622, 7603, 7464, 7254, 7107, 6872, 6731, 6687, 6530, 6318, 6203, 5935, 5265, 5055, 4900, 4445, 3955, 3677, 3331, 2911, 2454, 1651, 1416, 787, 575, 15, 0]
freight_Carrier Wilmersdorf2_veh_TruckForckenbeckDiesel_3	diesel_vehicle	11500.0	10961	95.31	21256	[103, 131, 242, 267, 342, 488, 540, 681, 716, 744, 813, 1023, 1144, 1707, 1779, 2046, 2165, 2329, 2472, 2572, 2627, 2656, 2816, 3052, 3230, 3416, 3604, 4070, 4272, 4711, 5099, 5635, 5818, 6058, 6089, 6306, 6529, 6738, 7009, 7035, 7389, 7424, 7372, 7344, 6990, 6807, 6778, 6743, 6688, 6619, 6383, 6242, 6139, 6111, 5968, 5868, 5833, 5712, 5552, 5526, 5316, 5170, 5095, 4984, 4798, 4773, 4210, 4032, 4001, 3799, 3590, 3151, 2911, 2694, 2228, 1957, 1885, 1697, 1578, 1042, 878, 611, 388, 0, 95, 778, 892, 1122, 1672, 1677, 2187, 2483, 2557, 2762, 2822, 2850, 2871, 2850, 2822, 2817, 2703, 2629, 2534, 1851, 1791, 1586, 1076, 780, 230, 0, 220, 375, 476, 548, 714, 1230, 1462, 1822, 2043, 2226, 2453, 2637, 2885, 3119, 3238, 3814, 3918, 4140, 4421, 4700, 4836, 4880, 5126, 5390, 5461, 5666, 5784, 5831, 6054, 6134, 6468, 6683, 7022, 7258, 7446, 7726, 8014, 8186, 8304, 8314, 8598, 8855, 9197, 9386, 9757, 10186, 10424, 10552, 10585, 10943, 10961, 10603, 10585, 10467, 10262, 10182, 9994, 9779, 9708, 9698, 9327, 9138, 9091, 8811, 8778, 8542, 8498, 8315, 8051, 7819, 7701, 7417, 7078, 6718, 6534, 6300, 5724, 5596, 5477, 5322, 5084, 5012, 4766, 4543, 4323, 4102, 4001, 3720, 3554, 3327, 3039, 2523, 2419, 2247, 2025, 1596, 1317, 1181, 924, 676, 342, 0]
freight_Carrier Schmargendorf3_veh_TruckForckenbeckDiesel_1	diesel_vehicle	11500.0	11207	97.45	16120	[48, 212, 301, 316, 344, 420, 721, 832, 979, 1078, 1097, 1207, 1299, 1395, 1510, 1646, 1800, 1815, 1844, 1866, 1897, 1914, 1960, 1985, 1998, 2004, 2017, 2171, 2474, 2723, 2874, 3075, 3216, 3366, 3380, 3533, 3852, 4163, 4462, 4474, 4522, 4713, 4860, 4875, 4929, 5018, 5033, 5255, 5270, 5444, 5584, 5633, 5722, 5737, 5764, 5791, 5960, 5986, 6165, 6375, 6592, 6894, 7051, 7208, 7349, 7377, 7555, 7577, 7752, 7776, 7885, 8105, 8213, 8325, 8486, 8645, 8770, 8914, 8971, 9078, 9218, 9391, 9480, 9611, 9696, 9752, 9853, 9935, 10016, 10334, 10635, 10658, 10890, 11024, 11082, 11145, 11207, 11028, 11016, 10997, 10857, 10726, 10672, 10562, 10421, 10189, 9886, 9859, 9801, 9660, 9632, 9547, 9490, 9414, 9257, 9117, 8818, 8803, 8702, 8524, 8462, 8448, 8402, 8376, 8351, 8215, 8014, 7870, 7763, 7748, 7574, 7485, 7338, 7321, 7232, 6983, 6830, 6815, 6784, 6625, 6517, 6421, 6287, 6126, 6111, 6022, 6009, 5982, 5960, 5947, 5822, 5730, 5682, 5658, 5635, 5606, 5578, 5563, 5557, 5448, 5137, 4980, 4805, 4655, 4354, 4035, 3972, 3890, 3778, 3679, 3506, 3315, 3014, 2845, 2734, 2686, 2630, 2479, 2259, 2037, 1883, 1794, 1647, 1566, 1544, 1226, 1177, 1062, 852, 635, 471, 317, 302, 0, 20, 74, 349, 656, 801, 1179, 1325, 1590, 1740, 1861, 1951, 2090, 2235, 2382, 2529, 2630, 2895, 3164, 3413, 3456, 3779, 4026, 4185, 4205, 4490, 4505, 4748, 4913, 4648, 4498, 4353, 4232, 3925, 3602, 3333, 3318, 3153, 3007, 2732, 2573, 2426, 2336, 2316, 2177, 2076, 1827, 1562, 1519, 1465, 1445, 1202, 1057, 810, 525, 147, 0]
freight_Carrier Schmargendorf3_veh_TruckForckenbeckDiesel_2	diesel_vehicle	11500.0	6790	59.04	6790	[57, 1262, 1510, 1584, 1940, 2086, 2268, 2413, 2487, 2632, 2771, 3031, 3270, 3674, 3998, 4195, 4356, 4374, 4620, 4693, 4778, 4853, 4969, 5118, 5139, 5214, 5274, 5490, 5531, 5786, 5807, 6010, 6247, 6275, 6600, 6790, 6749, 6674, 6426, 6210, 6153, 6079, 5675, 5530, 5348, 5109, 4863, 4835, 4690, 4500, 4144, 3884, 3768, 3750, 3676, 3616, 3595, 3574, 3371, 3116, 2879, 2733, 2658, 2585, 2436, 2239, 2078, 1939, 1854, 1529, 1205, 0]
freight_Carrier Wilmersdorf3_veh_TruckForckenbeckDiesel_2	diesel_vehicle	11500.0	11442	99.5	11442	[352, 448, 467, 534, 711, 743, 1022, 1321, 1354, 1378, 1663, 1691, 1985, 2243, 2586, 2899, 3267, 4071, 4225, 4388, 5149, 5350, 5484, 5590, 6045, 6056, 6085, 6124, 6185, 6515, 6746, 6919, 6953, 7178, 7217, 7257, 7308, 7383, 7504, 7708, 7773, 7856, 8211, 8541, 8809, 8880, 8913, 8973, 9304, 9332, 9365, 9400, 9430, 9546, 9840, 10161, 10387, 10668, 10974, 11088, 11116, 11442, 11414, 11381, 11347, 11312, 11031, 10725, 10611, 10385, 10334, 10263, 10234, 10201, 10140, 10100, 10061, 10050, 9756, 9726, 9610, 9289, 9229, 9190, 8986, 8921, 8846, 8520, 8399, 8174, 8091, 7760, 7732, 7402, 7034, 6900, 6868, 6844, 6748, 6571, 6219, 5764, 4960, 4806, 4476, 4163, 4144, 3913, 3152, 2797, 2634, 2291, 2118, 2012, 1718, 1690, 1657, 1590, 1332, 1064, 765, 564, 279, 0]
freight_Carrier Wilmersdorf3_veh_TruckForckenbeckDiesel_4	diesel_vehicle	11500.0	10440	90.78	10440	[375, 683, 877, 1011, 1084, 1540, 1612, 1809, 1971, 2101, 2378, 2415, 2862, 2899, 2918, 3013, 3034, 3057, 3076, 3262, 3447, 3938, 4121, 4781, 5494, 5588, 5624, 5996, 6261, 6297, 6491, 6824, 6853, 6934, 7040, 7492, 7512, 8092, 8206, 8232, 8331, 8359, 8389, 8492, 8632, 8883, 9215, 9403, 9487, 9543, 9934, 10440, 10337, 10253, 10147, 10007, 9951, 9922, 9841, 9804, 9732, 9695, 9533, 9348, 9329, 9310, 9287, 9157, 8960, 8766, 8489, 8033, 7899, 7826, 7640, 7389, 6729, 6699, 6679, 6580, 6544, 6430, 6165, 5713, 5322, 5139, 4648, 4276, 3696, 3508, 3133, 2686, 2354, 2046, 2018, 1992, 1956, 1862, 1356, 1162, 1141, 1046, 713, 0]
freight_Carrier Wilmersdorf3_veh_TruckForckenbeckDiesel_5	diesel_vehicle	11500.0	10168	88.42	10168	[369, 392, 480, 548, 915, 1107, 1127, 1292, 1517, 1830, 1853, 2192, 2384, 2775, 3307, 3563, 3885, 4479, 4505, 4824, 5122, 5356, 6020, 6158, 6678, 6720, 6760, 6948, 7209, 8046, 8069, 8186, 8461, 8578, 9496, 9822, 10168, 10148, 9956, 9731, 9691, 9574, 9551, 9386, 9344, 9025, 8999, 8976, 8585, 8447, 8213, 7874, 7682, 7407, 7094, 6772, 6749, 6493, 6232, 5700, 5180, 4992, 4666, 4002, 3656, 3588, 3221, 3104, 3016, 2718, 2349, 1755, 837, 0]
freight_Carrier Wilmersdorf1_veh_TruckForckenbeckDiesel_5	diesel_vehicle	11500.0	5123	44.55	5123	[384, 602, 869, 1183, 2164, 2626, 2746, 2990, 3015, 3138, 3259, 3383, 3618, 4579, 4855, 4885, 4915, 4994, 5123, 4999, 4974, 4851, 4731, 4610, 4366, 4131, 3150, 2766, 2490, 2028, 1810, 1731, 1602, 1572, 1305, 1275, 961, 0]
