carrierId	nuOfJspritIterations	fleetSize	nuOfPossibleVehicleTypes	nuOfPossibleVehicles	nuOfServiceLocations_planned	nuOfPickupLocations_planned	nuOfDeliveryLocations_planned	jobType	nuOfJobs_planned	demandSize_planned
Carrier Fennpfuhl1	100	INFINITE	1	1	0	65	1	shipments	65	28113
Carrier Fennpfuhl2	100	INFINITE	1	1	0	60	1	shipments	60	24910
Carrier Fennpfuhl3	100	INFINITE	1	1	0	55	1	shipments	55	27247
Carrier Friedrichshain1	100	INFINITE	1	1	0	351	1	shipments	351	112960
Carrier Friedrichshain2	100	INFINITE	1	1	0	328	1	shipments	328	102391
Carrier Friedrichshain3	100	INFINITE	1	1	0	331	1	shipments	331	102789
Carrier Gesundbrunnen1	100	INFINITE	1	1	0	171	1	shipments	171	52252
Carrier Gesundbrunnen2	100	INFINITE	1	1	0	205	1	shipments	205	59462
Carrier Gesundbrunnen3	100	INFINITE	1	1	0	188	1	shipments	188	58186
Carrier Halensee1	100	INFINITE	1	1	0	31	1	shipments	31	16678
Carrier Halensee2	100	INFINITE	1	1	0	25	1	shipments	25	11281
Carrier Halensee3	100	INFINITE	1	1	0	22	1	shipments	22	8961
Carrier Haselhorst1	100	INFINITE	1	1	0	89	1	shipments	89	11477
Carrier Haselhorst2	100	INFINITE	1	1	0	99	1	shipments	99	15051
Carrier Haselhorst3	100	INFINITE	1	1	0	86	1	shipments	86	10822
Carrier Hellersdorf1	100	INFINITE	1	1	0	231	1	shipments	231	74524
Carrier Hellersdorf2	100	INFINITE	1	1	0	206	1	shipments	206	60123
Carrier Hellersdorf3	100	INFINITE	1	1	0	207	1	shipments	207	59283
Carrier Karlshorst1	100	INFINITE	1	1	0	165	1	shipments	165	21827
Carrier Karlshorst2	100	INFINITE	1	1	0	164	1	shipments	164	22598
Carrier Karlshorst3	100	INFINITE	1	1	0	161	1	shipments	161	20615
Carrier Lichtenberg1	100	INFINITE	1	1	0	133	1	shipments	133	31365
Carrier Lichtenberg2	100	INFINITE	1	1	0	120	1	shipments	120	27602
Carrier Lichtenberg3	100	INFINITE	1	1	0	136	1	shipments	136	38293
Carrier Maerkisches Viertel1	100	INFINITE	1	1	0	47	1	shipments	47	20354
Carrier Maerkisches Viertel2	100	INFINITE	1	1	0	44	1	shipments	44	26068
Carrier Maerkisches Viertel3	100	INFINITE	1	1	0	43	1	shipments	43	24778
Carrier Moabit1	100	INFINITE	1	1	0	257	1	shipments	257	66497
Carrier Moabit2	100	INFINITE	1	1	0	246	1	shipments	246	60100
Carrier Moabit3	100	INFINITE	1	1	0	247	1	shipments	247	62713
Carrier Neu-Hohenschoenhausen1	100	INFINITE	1	1	0	94	1	shipments	94	39878
Carrier Neu-Hohenschoenhausen2	100	INFINITE	1	1	0	98	1	shipments	98	44060
Carrier Neu-Hohenschoenhausen3	100	INFINITE	1	1	0	98	1	shipments	98	50492
Carrier Neukoelln1	100	INFINITE	1	1	0	416	1	shipments	416	143267
Carrier Neukoelln2	100	INFINITE	1	1	0	398	1	shipments	398	133751
Carrier Neukoelln3	100	INFINITE	1	1	0	388	1	shipments	388	120312
Carrier Pankow1	100	INFINITE	1	1	0	210	1	shipments	210	52073
Carrier Pankow2	100	INFINITE	1	1	0	201	1	shipments	201	50089
Carrier Pankow3	100	INFINITE	1	1	0	215	1	shipments	215	49818
Carrier Schmargendorf1	100	INFINITE	1	1	0	116	1	shipments	116	17642
Carrier Schmargendorf2	100	INFINITE	1	1	0	130	1	shipments	130	18893
Carrier Schmargendorf3	100	INFINITE	1	1	0	105	1	shipments	105	16005
Carrier Schoeneberg1	100	INFINITE	1	1	0	432	1	shipments	432	96793
Carrier Schoeneberg2	100	INFINITE	1	1	0	429	1	shipments	429	104186
Carrier Schoeneberg3	100	INFINITE	1	1	0	400	1	shipments	400	92901
Carrier Staaken1	100	INFINITE	1	1	0	202	1	shipments	202	36219
Carrier Staaken2	100	INFINITE	1	1	0	193	1	shipments	193	35156
Carrier Staaken3	100	INFINITE	1	1	0	205	1	shipments	205	38085
Carrier Steglitz1	100	INFINITE	1	1	0	290	1	shipments	290	56474
Carrier Steglitz2	100	INFINITE	1	1	0	301	1	shipments	301	61963
Carrier Steglitz3	100	INFINITE	1	1	0	300	1	shipments	300	60713
Carrier Wedding1	100	INFINITE	1	1	0	279	1	shipments	279	68581
Carrier Wedding2	100	INFINITE	1	1	0	270	1	shipments	270	70858
Carrier Wedding3	100	INFINITE	1	1	0	244	1	shipments	244	67321
Carrier Wilhelmstadt1	100	INFINITE	1	1	0	161	1	shipments	161	32808
Carrier Wilhelmstadt2	100	INFINITE	1	1	0	162	1	shipments	162	32751
Carrier Wilhelmstadt3	100	INFINITE	1	1	0	158	1	shipments	158	31051
Carrier Wilmersdorf1	100	INFINITE	1	1	0	351	1	shipments	351	77164
Carrier Wilmersdorf2	100	INFINITE	1	1	0	382	1	shipments	382	77912
Carrier Wilmersdorf3	100	INFINITE	1	1	0	372	1	shipments	372	86964
