vehicleId	vehicleTypeId	capacity	maxLoad	maxLoadPercentage	handledDemand	load state during tour
freight_Carrier Wilmersdorf3_veh_TruckForckenbeckDiesel_2	diesel_vehicle	11500.0	11486	99.88	11486	[27, 484, 694, 725, 933, 1140, 2063, 2251, 2710, 3744, 3937, 3997, 4268, 4477, 4588, 4627, 4850, 4919, 4994, 5151, 5191, 5785, 6225, 6305, 6788, 7043, 7310, 7543, 7726, 8405, 8565, 8710, 9052, 9069, 9155, 9559, 9588, 9611, 9715, 9916, 10283, 10480, 10515, 10581, 10698, 11226, 11486, 11457, 11260, 10893, 10692, 10626, 10609, 10426, 10309, 10286, 10251, 9991, 9905, 9745, 9341, 9237, 9092, 8633, 8445, 8365, 8290, 7256, 7225, 7015, 6532, 6323, 5729, 5289, 5229, 4996, 4725, 4614, 4086, 3863, 3184, 2991, 2724, 1801, 1593, 1136, 1097, 1057, 1030, 961, 754, 597, 255, 0]
freight_Carrier Wilmersdorf2_veh_TruckForckenbeckDiesel_3	diesel_vehicle	11500.0	11095	96.48	20889	[27, 99, 218, 326, 955, 1051, 1079, 1103, 1417, 1702, 2288, 2320, 2542, 2576, 2832, 2856, 2965, 3107, 3253, 3435, 3765, 3919, 4195, 4588, 4778, 5014, 5594, 5619, 5854, 5895, 6173, 6307, 6433, 6539, 6753, 6967, 7002, 7047, 7209, 7372, 7404, 7697, 7737, 7792, 7875, 8371, 8563, 8789, 9039, 9063, 9384, 9665, 9794, 9602, 9376, 9250, 9210, 9048, 8834, 8700, 8486, 8205, 8170, 7920, 7757, 7702, 7677, 7548, 7524, 7479, 7373, 7332, 7300, 7022, 6939, 6618, 6325, 6090, 5594, 5201, 5019, 4783, 4593, 4484, 4199, 4165, 4023, 3904, 3876, 3849, 3703, 3427, 3331, 3307, 3085, 3061, 2989, 2957, 2377, 2047, 1939, 1785, 1156, 900, 314, 0, 117, 463, 580, 631, 908, 946, 1150, 1336, 1521, 1555, 1780, 2109, 2282, 2323, 2347, 2397, 2607, 2640, 2909, 3365, 3827, 3957, 3987, 4014, 4042, 4108, 4187, 4250, 4482, 4943, 4991, 5384, 5687, 5799, 5881, 6210, 6395, 6447, 6663, 6945, 7149, 7449, 7474, 7689, 7813, 8635, 8783, 8882, 8902, 9236, 9428, 9467, 9680, 9788, 9828, 10360, 10635, 10891, 11095, 11071, 11021, 10904, 10864, 10830, 10792, 10684, 10643, 10458, 10202, 9998, 9965, 9835, 9808, 9539, 9262, 9223, 8948, 8928, 8724, 8514, 8484, 8433, 8220, 7995, 7666, 7638, 7514, 7329, 6936, 6854, 6681, 6629, 6443, 6109, 5763, 5307, 4846, 4564, 4447, 3625, 3562, 3330, 2868, 2568, 2489, 2377, 2161, 1957, 1809, 1506, 1458, 1433, 1104, 572, 380, 314, 215, 0]
freight_Carrier Wilmersdorf3_veh_TruckForckenbeckDiesel_3	diesel_vehicle	11500.0	11288	98.16	21277	[141, 175, 256, 764, 903, 1466, 1733, 1882, 1903, 1968, 2056, 2503, 2878, 3715, 4171, 4333, 4463, 4538, 4832, 4972, 5592, 5714, 5820, 5859, 5920, 6250, 6319, 6709, 6977, 7557, 7836, 8030, 8556, 9011, 9049, 9077, 9180, 9774, 9963, 9989, 9924, 9849, 9660, 9538, 9398, 9360, 9066, 9038, 8977, 8522, 8496, 8366, 8260, 8098, 8059, 7956, 7762, 7483, 6903, 6456, 6368, 6038, 5969, 5701, 5560, 5526, 5018, 4751, 4295, 3732, 3357, 3218, 2624, 1787, 1706, 1086, 937, 411, 390, 0, 243, 302, 589, 956, 1315, 1590, 1817, 2085, 2526, 2936, 3079, 3392, 3636, 3759, 3880, 4212, 4699, 5018, 5214, 5603, 5789, 5809, 6054, 6685, 6859, 6874, 6891, 7172, 7478, 7615, 7640, 7902, 8447, 8679, 9091, 9151, 9218, 9451, 9653, 10311, 10555, 10589, 10753, 10846, 10880, 10965, 10998, 11288, 11044, 10677, 10450, 10175, 9816, 9548, 9229, 9106, 8873, 8586, 8254, 8133, 7890, 7831, 7629, 7316, 7173, 7113, 6568, 6336, 6074, 6007, 5922, 5902, 5809, 5519, 5323, 4692, 4205, 4031, 3750, 3564, 3320, 2662, 2252, 2115, 1870, 1564, 1531, 1516, 1491, 1474, 1440, 1028, 864, 475, 441, 0]
freight_Carrier Wilmersdorf1_veh_TruckForckenbeckDiesel_4	diesel_vehicle	11500.0	10294	89.51	10294	[28, 92, 120, 154, 349, 390, 604, 634, 1184, 1694, 1973, 2102, 2307, 2748, 2950, 3160, 3398, 3437, 3767, 4002, 4031, 4178, 4306, 4755, 5056, 5248, 5291, 5343, 5552, 5697, 5799, 6034, 6223, 6426, 6514, 7054, 7091, 7160, 7228, 7436, 7466, 7496, 7790, 7822, 7999, 8298, 8331, 8500, 8712, 8817, 8932, 9492, 9686, 9874, 10135, 10207, 10294, 10257, 10069, 10037, 9965, 9878, 9809, 9741, 9447, 9270, 9240, 9210, 8998, 8853, 8618, 8410, 8263, 8071, 8037, 7985, 7475, 7286, 7091, 6986, 6857, 6596, 6393, 6365, 6160, 6121, 5919, 5886, 5771, 5470, 5276, 4977, 4948, 4905, 4696, 4594, 4466, 4297, 3848, 3610, 3400, 3359, 2799, 2249, 2161, 2097, 2069, 2039, 1804, 1474, 934, 720, 279, 0]
freight_Carrier Wilmersdorf1_veh_TruckForckenbeckDiesel_2	diesel_vehicle	11500.0	11189	97.3	11189	[110, 142, 229, 475, 538, 1578, 2084, 2526, 2774, 2802, 3115, 3378, 3647, 3786, 3857, 3917, 4139, 4373, 4600, 4744, 4965, 5184, 5373, 5528, 5629, 5701, 6217, 6577, 6938, 6967, 7199, 7225, 7250, 7473, 7572, 7600, 7887, 7967, 8301, 8467, 8764, 8835, 8992, 9423, 9666, 9819, 10078, 10295, 10316, 10596, 10938, 11023, 11189, 10892, 10791, 10543, 10518, 10275, 10254, 9995, 9967, 9887, 9824, 9308, 9089, 8868, 8641, 8372, 8012, 7732, 7661, 7155, 7070, 6709, 6622, 6590, 6277, 5846, 5689, 5402, 5263, 5164, 4998, 4843, 4814, 4648, 4495, 4272, 4162, 4134, 3902, 3876, 3542, 3398, 2956, 2767, 2425, 2354, 2294, 2031, 1959, 1713, 673, 451, 217, 0]
freight_Carrier Wilmersdorf1_veh_TruckForckenbeckDiesel_1	diesel_vehicle	11500.0	11425	99.35	22156	[25, 171, 381, 545, 563, 843, 1039, 1212, 1430, 1924, 2120, 2503, 2514, 2532, 2580, 2868, 3069, 3128, 3350, 3554, 3578, 3798, 4419, 4481, 4505, 4762, 4888, 4918, 5167, 5484, 5792, 5874, 5911, 5939, 6554, 6887, 6958, 7606, 7867, 8079, 8090, 8370, 8432, 8838, 9003, 9325, 9559, 9875, 10369, 10731, 10325, 10199, 9919, 9754, 9743, 9681, 9373, 9343, 9123, 8806, 8572, 8510, 8188, 8164, 8140, 7879, 7842, 7771, 7409, 7381, 7299, 7087, 6439, 6414, 6403, 6020, 5732, 5673, 5527, 5331, 5127, 4633, 4018, 3854, 3574, 3556, 3360, 3138, 2965, 2649, 2155, 2107, 1897, 1679, 1661, 1412, 1155, 534, 201, 0, 943, 1268, 1293, 1391, 1797, 1896, 2104, 2297, 2591, 2614, 2953, 3107, 3143, 3248, 3402, 3565, 3817, 4791, 4813, 5120, 5230, 5758, 5955, 6036, 6065, 6559, 6664, 7207, 8168, 8270, 8390, 9151, 9352, 9720, 9852, 10289, 10661, 11010, 11057, 11245, 11425, 11320, 11013, 10761, 10725, 10644, 10597, 10443, 10421, 10396, 10294, 10000, 9803, 9397, 9265, 9167, 8979, 8771, 8651, 8497, 8468, 8363, 8200, 8020, 7695, 7502, 7479, 7380, 6852, 6091, 5597, 5054, 4111, 3762, 3390, 3022, 2585, 2246, 2045, 1084, 974, 0]
freight_Carrier Wilmersdorf2_veh_TruckForckenbeckDiesel_5	diesel_vehicle	11500.0	6515	56.65	6515	[50, 638, 721, 1242, 1732, 2078, 2687, 3142, 3161, 3436, 3962, 4161, 4474, 4659, 4846, 5017, 5222, 5487, 5730, 6515, 6272, 5487, 5282, 5017, 4846, 4659, 4474, 4161, 3671, 3472, 2946, 2600, 1991, 1941, 1486, 898, 815, 294, 19, 0]
freight_Carrier Wilmersdorf2_veh_TruckForckenbeckDiesel_4	diesel_vehicle	11500.0	9921	86.27	9921	[268, 697, 892, 1355, 1635, 1735, 1790, 1933, 2143, 2217, 2250, 2347, 2957, 3197, 3228, 3445, 3647, 3823, 4093, 4341, 4598, 4802, 4807, 5103, 5177, 5388, 5597, 5690, 5792, 5820, 6432, 6896, 7110, 7216, 7247, 7711, 7740, 7854, 8084, 8165, 8189, 8292, 8449, 8858, 9048, 9378, 9446, 9465, 9500, 9634, 9680, 9707, 9822, 9861, 9905, 9921, 9894, 9878, 9763, 9695, 9651, 9632, 9593, 9547, 9454, 9278, 9021, 8411, 8314, 7850, 7744, 7641, 7345, 7097, 7016, 6985, 6950, 6746, 6535, 6401, 5972, 5872, 5542, 5352, 5324, 5122, 4842, 4433, 4223, 4109, 3900, 3670, 3206, 2743, 2719, 2449, 2444, 2389, 2172, 2139, 1899, 1704, 1675, 1407, 1333, 1302, 690, 616, 514, 357, 143, 0]
freight_Carrier Wilmersdorf2_veh_TruckForckenbeckDiesel_2	diesel_vehicle	11500.0	10640	92.52	20697	[457, 912, 1442, 1644, 1856, 2053, 2321, 2507, 2946, 3375, 3841, 3871, 3936, 4314, 4342, 4630, 4824, 5010, 5182, 5288, 5298, 5374, 5450, 5515, 5548, 5687, 5854, 6003, 6218, 6364, 6703, 6939, 7136, 7244, 7494, 7589, 7695, 7706, 7911, 7939, 8087, 8180, 8363, 8583, 8767, 9015, 9134, 9710, 9814, 10060, 10178, 10289, 10355, 10548, 10574, 10640, 10404, 9828, 9560, 9348, 9253, 9225, 9214, 9121, 8875, 8345, 8140, 7994, 7984, 7782, 7754, 7325, 7141, 6955, 6705, 6512, 6297, 6077, 5894, 5829, 5680, 5604, 5493, 5428, 4971, 4683, 4565, 4317, 4287, 4101, 3997, 3964, 3498, 3390, 3284, 2845, 2779, 2440, 2273, 2154, 1699, 1623, 1475, 1278, 1139, 942, 876, 498, 392, 366, 172, 0, 207, 423, 864, 898, 929, 1260, 1291, 1355, 1474, 1631, 1856, 1885, 2004, 2412, 2632, 2722, 2814, 2934, 3300, 3759, 3803, 3909, 3951, 4177, 4433, 4710, 5210, 5281, 5801, 6095, 6523, 6962, 7324, 7499, 7854, 7890, 7936, 8148, 8404, 8650, 8953, 9282, 9366, 10057, 9993, 9874, 9433, 8933, 8571, 8414, 8322, 8045, 7742, 7636, 7605, 7276, 7234, 6978, 6623, 6533, 6321, 5862, 5606, 5086, 5057, 4763, 4732, 4507, 4300, 4216, 4000, 3881, 3835, 3407, 2716, 2672, 2446, 2226, 2192, 2121, 1875, 1544, 1508, 1388, 1213, 847, 408, 0]
freight_Carrier Wilmersdorf1_veh_TruckForckenbeckDiesel_3	diesel_vehicle	11500.0	11434	99.43	11434	[16, 240, 271, 318, 354, 584, 1565, 1815, 1996, 2285, 2835, 3133, 3162, 3525, 3852, 4380, 4967, 5046, 5274, 5861, 6287, 6517, 6671, 6907, 7265, 7448, 7469, 7488, 7796, 7991, 8379, 8565, 8753, 8991, 9119, 9401, 9625, 9816, 9887, 10279, 10771, 10978, 11019, 11054, 11082, 11126, 11434, 11253, 11174, 10885, 10856, 10558, 10404, 10360, 10169, 10133, 9903, 9717, 9676, 9438, 9130, 9002, 8955, 8767, 8560, 8068, 7481, 7410, 7160, 6930, 6504, 6280, 5693, 5366, 5142, 5126, 5095, 5060, 5032, 4504, 4141, 3749, 3566, 2585, 2227, 1919, 1898, 1662, 1380, 830, 811, 616, 388, 0]
