carrierId	nuOfTours	tourDurations[s]	tourDurations[h]	travelDistances[m]	travelDistances[km]	travelTimes[s]	travelTimes[h]	fixedCosts[EUR]	varCostsTime[EUR]	varCostsDist[EUR]	totalCosts[EUR]
Carrier Haselhorst1	1	17579.0	4.883055555555556	50282.64833570264	50.28264833570264	8229.0	2.285833333333333	841.89	0.0	77.04206812699687	918.9320681269969
Carrier Haselhorst2	1	21470.0	5.963888888888889	56588.2903987274	56.588290398727395	9591.0	2.6641666666666666	841.89	0.0	86.70344678312215	928.5934467831221
Carrier Haselhorst3	1	16984.0	4.717777777777778	47861.09733880242	47.86109733880242	7925.0	2.201388888888889	841.89	0.0	73.33181612056629	915.2218161205662
Carrier Wilhelmstadt1	2	43614.0	12.115	108698.43529617193	108.69843529617192	19273.0	5.353611111111111	1683.78	0.0	166.5455685920887	1850.3255685920888
Carrier Wilhelmstadt2	2	44118.0	12.255	114471.51491408472	114.47151491408472	19963.0	5.545277777777778	1683.78	0.0	175.39096572106232	1859.1709657210622
Carrier Wilhelmstadt3	2	42410.0	11.780555555555555	107555.26988376823	107.55526988376822	19333.0	5.370277777777778	1683.78	0.0	164.794033410512	1848.574033410512
Carrier Neukoelln1	10	183308.0	50.91888888888889	560031.3502576734	560.0313502576735	84636.0	23.51	8418.900000000001	0.0	858.068834237802	9276.968834237803
Carrier Neukoelln2	9	173341.0	48.15027777777778	528588.657330662	528.588657330662	80703.0	22.4175	7577.010000000001	0.0	809.8929689888936	8386.902968988894
Carrier Neukoelln3	9	156921.0	43.589166666666664	488001.8636095257	488.00186360952574	73390.0	20.386111111111113	7577.010000000001	0.0	747.7066953852432	8324.716695385245
Carrier Moabit1	4	79530.0	22.091666666666665	174959.78400792624	174.95978400792623	31887.0	8.8575	3367.56	0.0	268.06988186126443	3635.6298818612645
Carrier Moabit2	3	72016.0	20.004444444444445	155650.40963266487	155.65040963266486	28408.0	7.891111111111111	2525.67	0.0	238.48444463097644	2764.1544446309763
Carrier Moabit3	3	73887.0	20.524166666666666	158553.73665174615	158.55373665174614	28926.0	8.035	2525.67	0.0	242.9328642230724	2768.6028642230726
Carrier Schmargendorf1	2	25458.0	7.071666666666666	65742.67344129785	65.74267344129785	11404.0	3.167777777777778	1683.78	0.0	100.72960939328775	1784.5096093932877
Carrier Schmargendorf2	2	26718.0	7.421666666666667	64449.38114545484	64.44938114545484	11385.0	3.1625	1683.78	0.0	98.74805280344299	1782.528052803443
Carrier Schmargendorf3	1	23393.0	6.498055555555555	58764.40858178326	58.76440858178326	10799.0	2.999722222222222	841.89	0.0	90.03765154083668	931.9276515408367
Carrier Neu-Hohenschoenhausen1	3	51660.0	14.35	147889.23392464782	147.8892339246478	24993.0	6.9425	2525.67	0.0	226.59292643466688	2752.262926434667
Carrier Neu-Hohenschoenhausen2	4	55906.0	15.529444444444444	157529.26354657905	157.52926354657905	26477.0	7.354722222222223	3367.56	0.0	241.36318702079745	3608.9231870207973
Carrier Neu-Hohenschoenhausen3	4	64703.0	17.973055555555554	184017.8006133084	184.01780061330842	31118.0	8.643888888888888	3367.56	0.0	281.9483937436989	3649.508393743699
Carrier Hellersdorf1	6	115555.0	32.09861111111111	374164.5135959762	374.16451359597625	63347.0	17.59638888888889	5051.34	0.0	573.2873844414828	5624.627384441483
