vehicleId	carrierId	vehicleTypeId	tourId	tourDuration[s]	tourDuration[h]	travelDistance[m]	travelDistance[km]	travelTime[s]	travelTime[h]	costPerSecond[EUR/s]	costPerMeter[EUR/m]	fixedCosts[EUR]	varCostsTime[EUR]	varCostsDist[EUR]	totalCosts[EUR]
freight_Carrier Fennpfuhl1_veh_TruckNordringDiesel_1	Carrier Fennpfuhl1	diesel_vehicle	1	27227.0	7.563055555555556	82570.96344404285	82.57096344404285	12502.0	3.472777777777778	0.0	0.00153218	841.89	0.0	126.51357876969357	968.4035787696936
freight_Carrier Fennpfuhl1_veh_TruckNordringDiesel_2	Carrier Fennpfuhl1	diesel_vehicle	2	10193.0	2.8313888888888887	39582.68569303816	39.582685693038165	5698.0	1.5827777777777778	0.0	0.00153218	841.89	0.0	60.64779936515921	902.5377993651592
freight_Carrier Fennpfuhl2_veh_TruckNordringDiesel_1	Carrier Fennpfuhl2	diesel_vehicle	1	23750.0	6.597222222222222	80343.11153351351	80.34311153351351	12046.0	3.346111111111111	0.0	0.00153218	841.89	0.0	123.10010862941873	964.9901086294187
freight_Carrier Fennpfuhl2_veh_TruckNordringDiesel_2	Carrier Fennpfuhl2	diesel_vehicle	2	11354.0	3.153888888888889	41293.157625703825	41.29315762570383	5925.0	1.6458333333333333	0.0	0.00153218	841.89	0.0	63.26855025095089	905.1585502509508
freight_Carrier Fennpfuhl3_veh_TruckNordringDiesel_1	Carrier Fennpfuhl3	diesel_vehicle	1	22850.0	6.347222222222222	75911.06833792868	75.91106833792868	10672.0	2.9644444444444447	0.0	0.00153218	841.89	0.0	116.30942068600756	958.1994206860076
freight_Carrier Fennpfuhl3_veh_TruckNordringDiesel_2	Carrier Fennpfuhl3	diesel_vehicle	2	13096.0	3.637777777777778	44093.66321004566	44.09366321004566	6809.0	1.8913888888888888	0.0	0.00153218	841.89	0.0	67.55942889716776	909.4494288971678
freight_Carrier Friedrichshain1_veh_TruckNordringDiesel_1	Carrier Friedrichshain1	diesel_vehicle	1	18038.0	5.010555555555555	58420.15277475119	58.42015277475119	9683.0	2.689722222222222	0.0	0.00153218	841.89	0.0	89.51018967841827	931.4001896784182
freight_Carrier Friedrichshain1_veh_TruckNordringDiesel_2	Carrier Friedrichshain1	diesel_vehicle	2	18139.0	5.038611111111111	60449.121310268776	60.44912131026878	9895.0	2.748611111111111	0.0	0.00153218	841.89	0.0	92.61893468916762	934.5089346891676
freight_Carrier Friedrichshain1_veh_TruckNordringDiesel_3	Carrier Friedrichshain1	diesel_vehicle	3	17868.0	4.963333333333333	59897.82187865104	59.897821878651044	9737.0	2.7047222222222222	0.0	0.00153218	841.89	0.0	91.77424472603155	933.6642447260315
freight_Carrier Friedrichshain1_veh_TruckNordringDiesel_4	Carrier Friedrichshain1	diesel_vehicle	4	18683.0	5.189722222222223	58777.3944098129	58.7773944098129	10768.0	2.991111111111111	0.0	0.00153218	841.89	0.0	90.05754816682713	931.9475481668271
