carrierName	demandToDistribute	numberOfJobs	shareOfPopulationWithFirstJobElement	areasFirstJobElement	numberOfFirstJobElementLocations	locationsOfFirstJobElement	firstJobElementTimePerUnit	firstJobElementStartTime	firstJobElementEndTime	shareOfPopulationWithSecondJobElement	areasSecondJobElement	numberOfSecondJobElementLocations	locationsOfSecondJobElement	secondJobElementTimePerUnit	secondJobElementStartTime	secondJobElementEndTime
dhl_1	147000			1	1		0	28800	57600	1	1			120	28800	57600
dhl_2	147000			2	1		0	28800	57600	1	2			120	28800	57600
dhl_3	147000			3	1		0	28800	57600	1	3			120	28800	57600
dhl_4	147000			4	1		0	28800	57600	1	4			120	28800	57600
dhl_5	147000			5	1		0	28800	57600	1	5			120	28800	57600
dhl_6	147000			6	1		0	28800	57600	1	6			120	28800	57600
dhl_7	147000			7	1		0	28800	57600	1	7			120	28800	57600
dhl_8	147000			8	1		0	28800	57600	1	8			120	28800	57600
dhl_9	147000			9	1		0	28800	57600	1	9			120	28800	57600
dhl_10	147000			10	1		0	28800	57600	1	10			120	28800	57600
dhl_11	147000			11	1		0	28800	57600	1	11			120	28800	57600
dhl_12	147000			12	1		0	28800	57600	1	12			120	28800	57600
dhl_13	147000			13	1		0	28800	57600	1	13			120	28800	57600
dhl_14	147000			14	1		0	28800	57600	1	14			120	28800	57600
dhl_15	147000			15	1		0	28800	57600	1	15			120	28800	57600
dhl_16	147000			16	1		0	28800	57600	1	16			120	28800	57600
dhl_111	147000			111	1		0	28800	57600	1	111			120	28800	57600
