Straße;Tag;KW
Arbach;Mi;U
Basberg;Do;G
Beinhausen;Mi;U
Bereborn;Di;U
Berenbach;Mi;U
Berlingen;Di;G
Berndorf;Mo;U
Betteldorf;Di;G
Birgel;Do;G
Birresborn;Mi;G
Bleckhausen;Mo;G
Bodenbach;Di;U
Bongard;Di;U
Borler;Di;U
Boxberg;Mi;U
Brockscheid;Mo;G
Brücktal;Di;U
Darscheid;Do;U
Daun;Do;U
Demerath;Fr;U
Densborn;Mi;G
Deudesfeld;Mo;G
Dockweiler;Mi;U
Dohm-Lammersdorf;Fr;G
Drees;Di;U
Dreis-Brück;Mo;U
Duppach;Do;G
Ellscheid;Fr;U
Esch;Do;G
Feusdorf;Do;G
Gefell;Mi;U
Gelenberg;Di;U
Gerolstein;Mi;G
Gillenfeld;Fr;U
Gönnersdorf;Do;G
Gunderath;Mi;U
Hallschlag;Do;G
Hillesheim;Fr;G
Hinterweiler;Di;G
Höchstberg;Mi;U
Hohenfels-Essingen;Di;G
Horperath;Mi;U
Hörscheid;Do;U
Hörschhausen;Mi;U
Immerath;Fr;U
Jünkerath;Fr;G
Kalenborn-Scheuern;Do;G
Kaperich;Mi;U
Katzwinkel;Mi;U
Kelberg;Di;U
Kerpen (Eifel);Di;U
Kerschenbach;Fr;G
Kirchweiler;Di;G
Kirsbach;Di;U
Kolverath;Di;U
Kopp;Mi;G
Kötterichen;Mi;U
Kradenbach;Mi;U
Lirstal;Mi;U
Lissendorf;Fr;G
Mannebach;Di;U
Mehren;Fr;U
Meisburg;Mo;G
Mosbruch;Di;U
Mückeln;Mo;G
Mürlenbach;Mi;G
Neichen;Mi;U
Nerdlen;Mi;U
Neroth;Di;G
Niederstadtfeld;Mo;G
Nitz;Di;U
Nohn;Di;U
Oberbettingen;Fr;G
Oberehe-Stroheich;Mo;U
Oberelz;Mi;U
Oberstadtfeld;Mo;G
Ormont;Do;G
Pelm;Di;G
Reimerath;Di;U
Retterath;Di;U
Reuth;Do;G
Rockeskyll;Di;G
Salm;Di;G
Sarmersbach;Mi;U
Sassen;Di;U
Saxler;Fr;U
Schalkenmehren;Fr;U
Scheid;Do;G
Schönbach;Mi;U
Schüller;Fr;G
Schutz;Mo;G
Stadtkyll;Fr;G
Steffeln;Do;G
Steineberg;Fr;U
Steiningen;Fr;U
Strohn;Mo;G
Strotzbüsch;Mo;G
Üdersdorf;Mo;G
Udler;Fr;U
Uersfeld;Mi;U
Ueß;Di;U
Utzerath;Mi;U
Üxheim;Di;U
Wallenborn;Di;G
Walsdorf;Mo;U
Weidenbach;Mo;G
Welcherath;Di;U
Wiesbaum;Mo;U
Winkel (Eifel);Fr;U
